accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,Form_4_Available
000032019324000088,2024-08-19,2024-08-15,2024-08-19T18:30:16.000Z,,4,,,,4679,0,0,xslF345X05/wk-form4_1724106610.xml,FORM 4,False
000032019324000086,2024-08-13,2024-08-09,2024-08-13T19:02:12.000Z,,4,,,,5031,0,0,xslF345X05/wk-form4_1723590126.xml,FORM 4,False
000032019324000084,2024-08-07,2024-08-05,2024-08-07T18:30:15.000Z,,4,,,,8270,0,0,xslF345X05/wk-form4_1723069808.xml,FORM 4,False
000032019324000075,2024-06-03,2024-05-30,2024-06-03T18:31:26.000Z,,4,,,,5734,0,0,xslF345X05/wk-form4_1717453877.xml,FORM 4,False
000032019324000073,2024-05-17,2024-05-15,2024-05-17T18:30:33.000Z,,4,,,,4682,0,0,xslF345X05/wk-form4_1715985021.xml,FORM 4,False
000032019324000071,2024-05-14,2024-05-10,2024-05-14T18:30:21.000Z,,4,,,,4621,0,0,xslF345X05/wk-form4_1715725806.xml,FORM 4,False
000032019324000058,2024-04-17,2024-04-15,2024-04-17T18:30:52.000Z,,4,,,,16177,0,0,xslF345X05/wk-form4_1713393040.xml,FORM 4,False
000032019324000056,2024-04-15,2024-04-11,2024-04-15T18:31:11.000Z,,4,,,,5376,0,0,xslF345X05/wk-form4_1713220262.xml,FORM 4,False
000032019324000055,2024-04-15,2024-04-11,2024-04-15T18:30:24.000Z,,4,,,,8967,0,0,xslF345X05/wk-form4_1713220215.xml,FORM 4,False
000032019324000052,2024-04-03,2024-04-01,2024-04-03T18:34:04.000Z,,4,,,,13862,0,0,xslF345X05/wk-form4_1712183631.xml,FORM 4,False
000032019324000051,2024-04-03,2024-04-01,2024-04-03T18:33:14.000Z,,4,,,,15688,0,0,xslF345X05/wk-form4_1712183580.xml,FORM 4,False
000032019324000050,2024-04-03,2024-04-01,2024-04-03T18:32:26.000Z,,4,,,,13686,0,0,xslF345X05/wk-form4_1712183535.xml,FORM 4,False
000032019324000049,2024-04-03,2024-04-01,2024-04-03T18:31:43.000Z,,4,,,,15012,0,0,xslF345X05/wk-form4_1712183493.xml,FORM 4,False
000032019324000048,2024-04-03,2024-04-01,2024-04-03T18:30:48.000Z,,4,,,,15718,0,0,xslF345X05/wk-form4_1712183434.xml,FORM 4,False
000032019324000039,2024-03-01,2024-02-28,2024-03-01T18:36:45.000Z,,4,,,,5739,0,0,xslF345X05/wk-form4_1709336196.xml,FORM 4,False
000032019324000038,2024-03-01,2024-02-28,2024-03-01T18:36:08.000Z,,4,,,,5742,0,0,xslF345X05/wk-form4_1709336160.xml,FORM 4,False
000032019324000037,2024-03-01,2024-02-28,2024-03-01T18:35:22.000Z,,4,,,,5618,0,0,xslF345X05/wk-form4_1709336113.xml,FORM 4,False
000032019324000036,2024-03-01,2024-02-28,2024-03-01T18:34:41.000Z,,4,,,,8280,0,0,xslF345X05/wk-form4_1709336072.xml,FORM 4,False
000032019324000035,2024-03-01,2024-02-28,2024-03-01T18:33:38.000Z,,4,,,,5730,0,0,xslF345X05/wk-form4_1709336002.xml,FORM 4,False
000032019324000034,2024-03-01,2024-02-28,2024-03-01T18:32:45.000Z,,4,,,,5747,0,0,xslF345X05/wk-form4_1709335956.xml,FORM 4,False
000032019324000033,2024-03-01,2024-02-28,2024-03-01T18:31:56.000Z,,4,,,,5721,0,0,xslF345X05/wk-form4_1709335906.xml,FORM 4,False
000032019324000022,2024-02-05,2024-02-01,2024-02-05T18:37:14.000Z,,4,,,,8450,0,0,xslF345X05/wk-form4_1707176223.xml,FORM 4,False
000032019324000021,2024-02-05,2024-02-01,2024-02-05T18:36:34.000Z,,4,,,,7061,0,0,xslF345X05/wk-form4_1707176183.xml,FORM 4,False
000032019324000020,2024-02-05,2024-02-01,2024-02-05T18:35:52.000Z,,4,,,,6935,0,0,xslF345X05/wk-form4_1707176141.xml,FORM 4,False
000032019324000019,2024-02-05,2024-02-01,2024-02-05T18:34:56.000Z,,4,,,,7771,0,0,xslF345X05/wk-form4_1707176086.xml,FORM 4,False
000032019324000018,2024-02-05,2024-02-01,2024-02-05T18:34:02.000Z,,4,,,,7048,0,0,xslF345X05/wk-form4_1707176011.xml,FORM 4,False
000032019324000017,2024-02-05,2024-02-01,2024-02-05T18:32:54.000Z,,4,,,,7064,0,0,xslF345X05/wk-form4_1707175959.xml,FORM 4,False
000032019324000016,2024-02-05,2024-02-01,2024-02-05T18:32:04.000Z,,4,,,,7057,0,0,xslF345X05/wk-form4_1707175909.xml,FORM 4,False
000032019324000015,2024-02-05,2024-02-01,2024-02-05T18:31:06.000Z,,4,,,,7064,0,0,xslF345X05/wk-form4_1707175857.xml,FORM 4,False
000032019323000113,2023-12-01,2023-11-29,2023-12-01T18:32:18.000Z,,4,,,,4600,0,0,xslF345X05/wk-form4_1701473530.xml,FORM 4,False
000032019323000111,2023-11-20,2023-11-16,2023-11-20T18:31:21.000Z,,4,,,,8165,0,0,xslF345X05/wk-form4_1700523067.xml,FORM 4,False
000032019323000109,2023-11-14,2023-11-10,2023-11-14T18:31:09.000Z,,4,,,,5066,0,0,xslF345X05/wk-form4_1700004649.xml,FORM 4,False
000032019323000099,2023-10-17,2023-10-15,2023-10-17T18:30:48.000Z,,4,,,,16029,0,0,xslF345X05/wk-form4_1697581839.xml,FORM 4,False
000032019323000097,2023-10-10,2023-10-06,2023-10-10T18:31:19.000Z,,4,,,,4875,0,0,xslF345X05/wk-form4_1696977071.xml,FORM 4,False
000032019323000096,2023-10-10,2023-10-06,2023-10-10T18:30:21.000Z,,4,,,,8889,0,0,xslF345X05/wk-form4_1696977012.xml,FORM 4,False
000032019323000093,2023-10-03,2023-10-01,2023-10-03T21:09:17.000Z,,4,,,,15985,0,0,xslF345X05/wk-form4_1696381746.xml,FORM 4,False
000032019323000092,2023-10-03,2023-10-01,2023-10-03T21:08:18.000Z,,4,,,,19514,0,0,xslF345X05/wk-form4_1696381688.xml,FORM 4,False
000032019323000091,2023-10-03,2023-10-01,2023-10-03T21:06:55.000Z,,4,,,,15642,0,0,xslF345X05/wk-form4_1696381604.xml,FORM 4,False
000032019323000090,2023-10-03,2023-10-01,2023-10-03T21:05:22.000Z,,4,,,,5624,0,0,xslF345X05/wk-form4_1696381514.xml,FORM 4,False
000032019323000089,2023-10-03,2023-10-01,2023-10-03T21:04:27.000Z,,4,,,,22080,0,0,xslF345X05/wk-form4_1696381457.xml,FORM 4,False
000032019323000088,2023-10-03,2023-10-01,2023-10-03T21:02:35.000Z,,4,,,,21404,0,0,xslF345X05/wk-form4_1696381345.xml,FORM 4,False
000032019323000081,2023-09-19,2023-08-08,2023-09-19T18:30:26.000Z,,4,,,,4890,0,0,xslF345X05/wk-form4_1695162617.xml,FORM 4,False
000032019323000079,2023-08-08,2023-08-05,2023-08-08T18:30:28.000Z,,4,,,,10893,0,0,xslF345X05/wk-form4_1691533817.xml,FORM 4,False
000032019323000070,2023-05-18,2023-05-16,2023-05-18T18:32:21.000Z,,4,,,,5705,0,0,xslF345X04/wf-form4_168444912415136.xml,FORM 4,False
000032019323000068,2023-05-12,2023-05-10,2023-05-12T18:30:34.000Z,,4,,,,4583,0,0,xslF345X04/wf-form4_168393061463065.xml,FORM 4,False
000032019323000066,2023-05-10,2023-05-08,2023-05-10T18:30:22.000Z,,4,,,,5105,0,0,xslF345X04/wf-form4_168375780902324.xml,FORM 4,False
000032019323000057,2023-04-18,2023-04-15,2023-04-18T18:31:39.000Z,,4,,,,16150,0,0,xslF345X04/wf-form4_168185708431590.xml,FORM 4,False
000032019323000055,2023-04-17,2023-04-13,2023-04-17T18:31:10.000Z,,4,,,,5207,0,0,xslF345X04/wf-form4_168177065948283.xml,FORM 4,False
000032019323000053,2023-04-10,2023-04-06,2023-04-10T18:30:24.000Z,,4,,,,4749,0,0,xslF345X04/wf-form4_168116581286812.xml,FORM 4,False
000032019323000051,2023-04-04,2023-04-01,2023-04-04T18:34:40.000Z,,4,,,,17464,0,0,xslF345X04/wf-form4_168064766485466.xml,FORM 4,False
000032019323000050,2023-04-04,2023-04-01,2023-04-04T18:33:48.000Z,,4,,,,15301,0,0,xslF345X04/wf-form4_168064761527635.xml,FORM 4,False
000032019323000049,2023-04-04,2023-04-01,2023-04-04T18:32:43.000Z,,4,,,,16593,0,0,xslF345X04/wf-form4_168064754806371.xml,FORM 4,False
000032019323000048,2023-04-04,2023-04-01,2023-04-04T18:31:55.000Z,,4,,,,13367,0,0,xslF345X04/wf-form4_168064750462974.xml,FORM 4,False
000032019323000047,2023-04-04,2023-04-01,2023-04-04T18:31:03.000Z,,4,,,,19021,0,0,xslF345X04/wf-form4_168064745080973.xml,FORM 4,False
000032019323000040,2023-03-24,2023-03-22,2023-03-24T18:31:12.000Z,,4,,,,5597,0,0,xslF345X04/wf-form4_167969705479427.xml,FORM 4,False
000032019323000038,2023-03-14,2023-03-10,2023-03-14T18:35:39.000Z,,4,,,,5713,0,0,xslF345X03/wf-form4_167883332720098.xml,FORM 4,False
000032019323000037,2023-03-14,2023-03-10,2023-03-14T18:35:04.000Z,,4,,,,5716,0,0,xslF345X03/wf-form4_167883328933055.xml,FORM 4,False
000032019323000036,2023-03-14,2023-03-10,2023-03-14T18:34:23.000Z,,4,,,,5592,0,0,xslF345X03/wf-form4_167883325244111.xml,FORM 4,False
000032019323000035,2023-03-14,2023-03-10,2023-03-14T18:33:41.000Z,,4,,,,5739,0,0,xslF345X03/wf-form4_167883321069337.xml,FORM 4,False
000032019323000034,2023-03-14,2023-03-10,2023-03-14T18:33:01.000Z,,4,,,,5704,0,0,xslF345X03/wf-form4_167883316975236.xml,FORM 4,False
000032019323000033,2023-03-14,2023-03-10,2023-03-14T18:31:58.000Z,,4,,,,5721,0,0,xslF345X03/wf-form4_167883310220723.xml,FORM 4,False
000032019323000032,2023-03-14,2023-03-10,2023-03-14T18:31:21.000Z,,4,,,,5712,0,0,xslF345X03/wf-form4_167883306952487.xml,FORM 4,False
000032019323000031,2023-03-14,2023-03-10,2023-03-14T18:30:52.000Z,,4,,,,5720,0,0,xslF345X03/wf-form4_167883304133328.xml,FORM 4,False
000032019323000022,2023-02-03,2023-02-01,2023-02-03T18:38:12.000Z,,4,,,,8423,0,0,xslF345X03/wf-form4_167546747536649.xml,FORM 4,False
000032019323000021,2023-02-03,2023-02-01,2023-02-03T18:37:19.000Z,,4,,,,7034,0,0,xslF345X03/wf-form4_167546742335512.xml,FORM 4,False
000032019323000020,2023-02-03,2023-02-01,2023-02-03T18:36:23.000Z,,4,,,,6908,0,0,xslF345X03/wf-form4_167546736542524.xml,FORM 4,False
000032019323000019,2023-02-03,2023-02-01,2023-02-03T18:35:24.000Z,,4,,,,9211,0,0,xslF345X03/wf-form4_167546729886985.xml,FORM 4,False
000032019323000018,2023-02-03,2023-02-01,2023-02-03T18:34:25.000Z,,4,,,,7870,0,0,xslF345X03/wf-form4_167546724839309.xml,FORM 4,False
000032019323000017,2023-02-03,2023-02-01,2023-02-03T18:33:10.000Z,,4,,,,7037,0,0,xslF345X03/wf-form4_167546717269434.xml,FORM 4,False
000032019323000016,2023-02-03,2023-02-01,2023-02-03T18:32:10.000Z,,4,,,,7030,0,0,xslF345X03/wf-form4_167546711444862.xml,FORM 4,False
000032019323000015,2023-02-03,2023-02-01,2023-02-03T18:31:15.000Z,,4,,,,7037,0,0,xslF345X03/wf-form4_167546705890329.xml,FORM 4,False
000032019322000113,2022-11-23,2022-11-22,2022-11-23T18:30:27.000Z,,4,,,,5076,0,0,xslF345X03/wf-form4_166924620985339.xml,FORM 4,False
000032019322000111,2022-11-01,2022-10-28,2022-11-01T18:30:34.000Z,,4,,,,10792,0,0,xslF345X03/wf-form4_166734181374173.xml,FORM 4,False
000032019322000102,2022-10-18,2022-10-15,2022-10-18T18:33:15.000Z,,4,,,,10628,0,0,xslF345X03/wf-form4_166613234346671.xml,FORM 4,False
000032019322000101,2022-10-18,2022-10-15,2022-10-18T18:31:41.000Z,,4,,,,16046,0,0,xslF345X03/wf-form4_166613226881196.xml,FORM 4,False
000032019322000097,2022-10-04,2022-10-01,2022-10-04T22:05:07.000Z,,4,,,,16538,0,0,xslF345X03/wf-form4_166493494107053.xml,FORM 4,False
000032019322000095,2022-10-04,2022-10-01,2022-10-04T22:02:25.000Z,,4,,,,22183,0,0,xslF345X03/wf-form4_166493432440801.xml,FORM 4,False
000032019322000096,2022-10-04,2022-10-01,2022-10-04T21:57:57.000Z,,4,,,,10814,0,0,xslF345X03/wf-form4_166493485929155.xml,FORM 4,False
000032019322000098,2022-10-04,2022-10-01,2022-10-04T21:57:10.000Z,,4,,,,10988,0,0,xslF345X03/wf-form4_166493500034922.xml,FORM 4,False
000032019322000090,2022-09-27,2022-09-25,2022-09-27T21:51:33.000Z,,4,,,,7878,0,0,xslF345X03/wf-form4_166432987613616.xml,FORM 4,False
000032019322000089,2022-09-27,2022-09-25,2022-09-27T21:50:27.000Z,,4,,,,7916,0,0,xslF345X03/wf-form4_166432981128707.xml,FORM 4,False
000032019322000088,2022-09-27,2022-09-25,2022-09-27T21:49:11.000Z,,4,,,,7887,0,0,xslF345X03/wf-form4_166432973592639.xml,FORM 4,False
000032019322000087,2022-09-27,2022-09-25,2022-09-27T21:48:06.000Z,,4,,,,7880,0,0,xslF345X03/wf-form4_166432966938808.xml,FORM 4,False
000032019322000086,2022-09-27,2022-09-25,2022-09-27T21:46:50.000Z,,4,,,,5635,0,0,xslF345X03/wf-form4_166432958917508.xml,FORM 4,False
000032019322000085,2022-09-27,2022-09-25,2022-09-27T21:45:49.000Z,,4,,,,7917,0,0,xslF345X03/wf-form4_166432952647630.xml,FORM 4,False
000032019322000076,2022-08-19,2022-08-17,2022-08-19T18:30:27.000Z,,4,,,,7070,0,0,xslF345X03/wf-form4_166094821148314.xml,FORM 4,False
000032019322000074,2022-08-09,2022-08-05,2022-08-09T18:31:05.000Z,,4,,,,10700,0,0,xslF345X03/wf-form4_166008422355199.xml,FORM 4,False
000032019322000072,2022-08-05,2022-08-03,2022-08-05T18:30:49.000Z,,4,,,,14533,0,0,xslF345X03/wf-form4_165973862846098.xml,FORM 4,False
000032019322000063,2022-05-13,2022-05-06,2022-05-13T18:31:28.000Z,,4,,,,4636,0,0,xslF345X03/wf-form4_165248105838188.xml,FORM 4,False
000032019322000061,2022-05-06,2022-05-04,2022-05-06T18:30:57.000Z,,4,,,,16362,0,0,xslF345X03/wf-form4_165187623819106.xml,FORM 4,False
000032019322000053,2022-04-19,2022-04-15,2022-04-19T18:31:54.000Z,,4,,,,12553,0,0,xslF345X03/wf-form4_165040749395911.xml,FORM 4,False
000032019322000052,2022-04-19,2022-04-15,2022-04-19T18:30:44.000Z,,4,,,,16128,0,0,xslF345X03/wf-form4_165040742689204.xml,FORM 4,False
000032019322000049,2022-04-05,2022-04-01,2022-04-05T18:33:35.000Z,,4,,,,17711,0,0,xslF345X03/wf-form4_164919799612317.xml,FORM 4,False
000032019322000048,2022-04-05,2022-04-01,2022-04-05T18:32:41.000Z,,4,,,,12916,0,0,xslF345X03/wf-form4_164919793500496.xml,FORM 4,False
000032019322000047,2022-04-05,2022-04-01,2022-04-05T18:31:42.000Z,,4,,,,13594,0,0,xslF345X03/wf-form4_164919788707106.xml,FORM 4,False
000032019322000046,2022-04-05,2022-04-01,2022-04-05T18:30:46.000Z,,4,,,,11071,0,0,xslF345X03/wf-form4_164919783103450.xml,FORM 4,False
000032019322000041,2022-03-08,2022-03-04,2022-03-08T18:37:38.000Z,,4,,,,5713,0,0,xslF345X03/wf-form4_164678264350913.xml,FORM 4,False
000032019322000040,2022-03-08,2022-03-04,2022-03-08T18:36:47.000Z,,4,,,,5716,0,0,xslF345X03/wf-form4_164678259356672.xml,FORM 4,False
000032019322000039,2022-03-08,2022-03-04,2022-03-08T18:35:52.000Z,,4,,,,5592,0,0,xslF345X03/wf-form4_164678253465583.xml,FORM 4,False
000032019322000038,2022-03-08,2022-03-04,2022-03-08T18:35:01.000Z,,4,,,,5739,0,0,xslF345X03/wf-form4_164678248157775.xml,FORM 4,False
000032019322000037,2022-03-08,2022-03-04,2022-03-08T18:34:04.000Z,,4,,,,5704,0,0,xslF345X03/wf-form4_164678242279764.xml,FORM 4,False
000032019322000036,2022-03-08,2022-03-04,2022-03-08T18:33:09.000Z,,4,,,,5721,0,0,xslF345X03/wf-form4_164678236531567.xml,FORM 4,False
000032019322000035,2022-03-08,2022-03-04,2022-03-08T18:32:05.000Z,,4,,,,5712,0,0,xslF345X03/wf-form4_164678229722183.xml,FORM 4,False
000032019322000034,2022-03-08,2022-03-04,2022-03-08T18:30:58.000Z,,4,,,,5720,0,0,xslF345X03/wf-form4_164678223741209.xml,FORM 4,False
000032019322000025,2022-02-07,2022-02-03,2022-02-07T18:30:37.000Z,,4,,,,14076,0,0,xslF345X03/wf-form4_164427662367600.xml,FORM 4,False
000032019322000023,2022-02-03,2022-02-01,2022-02-03T18:39:01.000Z,,4,,,,8427,0,0,xslF345X03/wf-form4_164393152667942.xml,FORM 4,False
000032019322000022,2022-02-03,2022-02-01,2022-02-03T18:38:05.000Z,,4,,,,7038,0,0,xslF345X03/wf-form4_164393146754706.xml,FORM 4,False
000032019322000021,2022-02-03,2022-02-01,2022-02-03T18:36:48.000Z,,4,,,,6912,0,0,xslF345X03/wf-form4_164393139518938.xml,FORM 4,False
000032019322000020,2022-02-03,2022-02-01,2022-02-03T18:35:50.000Z,,4,,,,9114,0,0,xslF345X03/wf-form4_164393133439643.xml,FORM 4,False
000032019322000019,2022-02-03,2022-02-01,2022-02-03T18:34:28.000Z,,4,,,,7710,0,0,xslF345X03/wf-form4_164393124898522.xml,FORM 4,False
000032019322000018,2022-02-03,2022-02-01,2022-02-03T18:33:24.000Z,,4,,,,7036,0,0,xslF345X03/wf-form4_164393117233036.xml,FORM 4,False
000032019322000017,2022-02-03,2022-02-01,2022-02-03T18:31:58.000Z,,4,,,,7034,0,0,xslF345X03/wf-form4_164393109986560.xml,FORM 4,False
000032019322000016,2022-02-03,2022-02-01,2022-02-03T18:30:57.000Z,,4,,,,7041,0,0,xslF345X03/wf-form4_164393104282208.xml,FORM 4,False
