accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,Form_4_Available
000112760224022814,2024-08-22,2024-08-21,2024-08-22T17:12:23.000Z,,4,,,,4533,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224021898,2024-08-08,2024-08-06,2024-08-08T16:35:07.000Z,,4,,,,4812,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224017053,2024-05-30,2024-05-29,2024-05-30T19:53:30.000Z,,4,,,,5048,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224017050,2024-05-30,2024-05-29,2024-05-30T19:52:07.000Z,,4,,,,6637,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224017046,2024-05-30,2024-05-29,2024-05-30T19:50:15.000Z,,4,,,,5704,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224017044,2024-05-30,2024-05-29,2024-05-30T19:48:25.000Z,,4,,,,5021,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224017040,2024-05-30,2024-05-29,2024-05-30T19:46:46.000Z,,4,,,,5076,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224017035,2024-05-30,2024-05-29,2024-05-30T19:43:28.000Z,,4,,,,5026,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224017032,2024-05-30,2024-05-29,2024-05-30T19:41:55.000Z,,4,,,,5071,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224017029,2024-05-30,2024-05-29,2024-05-30T19:40:20.000Z,,4,,,,5084,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224017026,2024-05-30,2024-05-29,2024-05-30T19:38:12.000Z,,4,,,,5044,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224017022,2024-05-30,2024-05-29,2024-05-30T19:36:09.000Z,,4,,,,5761,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224017019,2024-05-30,2024-05-29,2024-05-30T19:33:46.000Z,,4,,,,6003,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224016738,2024-05-28,2024-05-24,2024-05-28T18:09:09.000Z,,4,,,,5722,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224016736,2024-05-28,2024-05-24,2024-05-28T18:07:20.000Z,,4,,,,5753,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224016734,2024-05-28,2024-05-24,2024-05-28T18:05:12.000Z,,4,,,,5748,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224016403,2024-05-23,2024-05-21,2024-05-23T16:25:35.000Z,,4,,,,9438,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224015114,2024-05-13,2024-05-10,2024-05-13T16:52:26.000Z,,4,,,,5300,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224014330,2024-05-06,2024-05-02,2024-05-06T18:32:45.000Z,,4,,,,8654,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224013563,2024-04-29,2024-04-25,2024-04-29T16:39:31.000Z,,4,,,,9241,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224012509,2024-04-04,2024-04-02,2024-04-04T20:05:49.000Z,,4,,,,9634,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224008908,2024-03-06,2024-03-04,2024-03-06T19:17:08.000Z,,4,,,,5732,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224008906,2024-03-06,2024-03-04,2024-03-06T19:15:08.000Z,,4,,,,5710,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224008904,2024-03-06,2024-03-04,2024-03-06T19:12:27.000Z,,4,,,,5705,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224004113,2024-02-08,2024-02-06,2024-02-08T20:02:48.000Z,,4,,,,10077,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224004112,2024-02-08,2024-02-06,2024-02-08T19:58:59.000Z,,4,,,,10427,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224004110,2024-02-08,2024-02-06,2024-02-08T19:56:41.000Z,,4,,,,10381,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224004108,2024-02-08,2024-02-06,2024-02-08T19:53:53.000Z,,4,,,,10371,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224004106,2024-02-08,2024-02-06,2024-02-08T19:51:52.000Z,,4,,,,10376,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224004104,2024-02-08,2024-02-06,2024-02-08T19:49:51.000Z,,4,,,,10252,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224004102,2024-02-08,2024-02-06,2024-02-08T19:47:30.000Z,,4,,,,10377,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224004099,2024-02-08,2024-02-06,2024-02-08T19:36:35.000Z,,4,,,,10366,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224004097,2024-02-08,2024-02-06,2024-02-08T19:34:16.000Z,,4,,,,10346,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224003256,2024-02-02,2024-01-31,2024-02-02T18:50:56.000Z,,4,,,,10850,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224003249,2024-02-02,2024-01-31,2024-02-02T18:47:44.000Z,,4,,,,11309,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224003242,2024-02-02,2024-01-31,2024-02-02T18:45:05.000Z,,4,,,,11842,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224003240,2024-02-02,2024-01-31,2024-02-02T18:44:32.000Z,,4,,,,15789,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224003237,2024-02-02,2024-01-31,2024-02-02T18:43:04.000Z,,4,,,,12639,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224003233,2024-02-02,2024-01-31,2024-02-02T18:39:51.000Z,,4,,,,10879,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224003232,2024-02-02,2024-01-31,2024-02-02T18:39:36.000Z,,4,,,,11345,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224003228,2024-02-02,2024-01-31,2024-02-02T18:38:10.000Z,,4,,,,17283,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224003223,2024-02-02,2024-01-31,2024-02-02T18:35:38.000Z,,4,,,,10922,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760224003221,2024-02-02,2024-01-31,2024-02-02T18:35:02.000Z,,4,,,,15584,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223030227,2023-12-20,2023-12-18,2023-12-20T21:38:36.000Z,,4,,,,26509,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223030225,2023-12-20,2023-12-18,2023-12-20T21:36:50.000Z,,4,,,,28303,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223030223,2023-12-20,2023-12-18,2023-12-20T21:30:33.000Z,,4,,,,11352,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223030222,2023-12-20,2023-12-18,2023-12-20T21:29:31.000Z,,4,,,,11888,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223030221,2023-12-20,2023-12-18,2023-12-20T21:28:20.000Z,,4,,,,27413,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223030220,2023-12-20,2023-12-18,2023-12-20T21:27:05.000Z,,4,,,,10092,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223030219,2023-12-20,2023-12-18,2023-12-20T21:26:08.000Z,,4,,,,10230,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223030218,2023-12-20,2023-12-18,2023-12-20T21:24:43.000Z,,4,,,,10847,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223028428,2023-11-29,2023-11-27,2023-11-29T17:41:57.000Z,,4,,,,5589,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223028426,2023-11-29,2023-11-27,2023-11-29T17:38:56.000Z,,4,,,,5619,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223028424,2023-11-29,2023-11-27,2023-11-29T17:35:53.000Z,,4,,,,5614,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223023361,2023-08-29,2023-08-25,2023-08-29T16:23:33.000Z,,4,,,,5589,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223023352,2023-08-29,2023-08-25,2023-08-29T16:16:56.000Z,,4,,,,5619,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223023346,2023-08-29,2023-08-25,2023-08-29T16:11:58.000Z,,4,,,,5614,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223022549,2023-08-15,2023-08-11,2023-08-15T16:18:04.000Z,,4,,,,10132,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223022141,2023-08-07,2023-08-03,2023-08-07T17:05:59.000Z,,4,,,,9374,0,0,xslF345X05/form4.xml,PRIMARY DOCUMENT,True
000112760223017565,2023-06-02,2023-05-31,2023-06-02T16:38:32.000Z,,4,,,,4911,0,0,xslF345X04/form4.xml,PRIMARY DOCUMENT,True
000112760223017560,2023-06-02,2023-05-31,2023-06-02T16:36:22.000Z,,4,,,,6500,0,0,xslF345X04/form4.xml,PRIMARY DOCUMENT,True
000112760223017555,2023-06-02,2023-05-31,2023-06-02T16:34:05.000Z,,4,,,,5568,0,0,xslF345X04/form4.xml,PRIMARY DOCUMENT,True
000112760223017551,2023-06-02,2023-05-31,2023-06-02T16:31:55.000Z,,4,,,,4885,0,0,xslF345X04/form4.xml,PRIMARY DOCUMENT,True
000112760223017548,2023-06-02,2023-05-31,2023-06-02T16:29:15.000Z,,4,,,,4938,0,0,xslF345X04/form4.xml,PRIMARY DOCUMENT,True
000112760223017546,2023-06-02,2023-05-31,2023-06-02T16:27:20.000Z,,4,,,,4890,0,0,xslF345X04/form4.xml,PRIMARY DOCUMENT,True
000112760223017543,2023-06-02,2023-05-31,2023-06-02T16:25:09.000Z,,4,,,,4934,0,0,xslF345X04/form4.xml,PRIMARY DOCUMENT,True
000112760223017541,2023-06-02,2023-05-31,2023-06-02T16:22:43.000Z,,4,,,,5681,0,0,xslF345X04/form4.xml,PRIMARY DOCUMENT,True
000112760223017539,2023-06-02,2023-05-31,2023-06-02T16:20:33.000Z,,4,,,,4908,0,0,xslF345X04/form4.xml,PRIMARY DOCUMENT,True
000112760223017531,2023-06-02,2023-05-31,2023-06-02T16:17:37.000Z,,4,,,,5625,0,0,xslF345X04/form4.xml,PRIMARY DOCUMENT,True
000112760223017527,2023-06-02,2023-05-31,2023-06-02T16:13:50.000Z,,4,,,,5867,0,0,xslF345X04/form4.xml,PRIMARY DOCUMENT,True
000112760223017086,2023-05-30,2023-05-26,2023-05-30T19:10:00.000Z,,4,,,,5587,0,0,xslF345X04/form4.xml,PRIMARY DOCUMENT,True
000112760223017081,2023-05-30,2023-05-26,2023-05-30T19:07:11.000Z,,4,,,,5618,0,0,xslF345X04/form4.xml,PRIMARY DOCUMENT,True
000112760223017078,2023-05-30,2023-05-26,2023-05-30T19:04:11.000Z,,4,,,,5613,0,0,xslF345X04/form4.xml,PRIMARY DOCUMENT,True
000112760223008026,2023-03-01,2023-02-27,2023-03-01T19:14:33.000Z,,4,,,,5340,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223008020,2023-03-01,2023-02-27,2023-03-01T19:09:28.000Z,,4,,,,5586,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223008015,2023-03-01,2023-02-27,2023-03-01T19:04:56.000Z,,4,,,,5581,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223007392,2023-02-27,2023-02-13,2023-02-27T20:22:41.000Z,,4,,,,4683,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223004269,2023-02-09,2023-02-07,2023-02-09T17:12:17.000Z,,4,,,,11034,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223003190,2023-02-02,2023-01-31,2023-02-02T17:30:09.000Z,,4,,,,10803,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223003188,2023-02-02,2023-01-31,2023-02-02T17:28:06.000Z,,4,,,,9191,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223003184,2023-02-02,2023-01-31,2023-02-02T17:25:55.000Z,,4,,,,10396,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223003180,2023-02-02,2023-01-31,2023-02-02T17:23:59.000Z,,4,,,,9200,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223003176,2023-02-02,2023-01-31,2023-02-02T17:21:41.000Z,,4,,,,10642,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223003171,2023-02-02,2023-01-31,2023-02-02T17:19:37.000Z,,4,,,,9280,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223003167,2023-02-02,2023-01-31,2023-02-02T17:17:32.000Z,,4,,,,14851,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223003162,2023-02-02,2023-01-31,2023-02-02T17:15:09.000Z,,4,,,,9763,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223003155,2023-02-02,2023-01-31,2023-02-02T17:09:33.000Z,,4,,,,9192,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223003153,2023-02-02,2023-01-31,2023-02-02T17:06:21.000Z,,4,,,,10442,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223002468,2023-01-27,2023-01-25,2023-01-27T16:54:09.000Z,,4,,,,10132,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223002466,2023-01-27,2023-01-25,2023-01-27T16:51:12.000Z,,4,,,,8379,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223002464,2023-01-27,2023-01-25,2023-01-27T16:48:46.000Z,,4,,,,9759,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223002462,2023-01-27,2023-01-25,2023-01-27T16:45:34.000Z,,4,,,,8130,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223002453,2023-01-27,2023-01-25,2023-01-27T16:34:15.000Z,,4,,,,8835,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223002445,2023-01-27,2023-01-25,2023-01-27T16:29:07.000Z,,4,,,,8113,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223002440,2023-01-27,2023-01-25,2023-01-27T16:24:06.000Z,,4,,,,8834,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223002433,2023-01-27,2023-01-25,2023-01-27T16:19:29.000Z,,4,,,,8460,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760223002426,2023-01-27,2023-01-25,2023-01-27T16:14:24.000Z,,4,,,,9331,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222028032,2022-12-20,2022-12-16,2022-12-20T20:30:47.000Z,,4,,,,11135,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222028030,2022-12-20,2022-12-16,2022-12-20T20:26:37.000Z,,4,,,,9842,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222028028,2022-12-20,2022-12-16,2022-12-20T20:24:10.000Z,,4,,,,28147,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222028026,2022-12-20,2022-12-16,2022-12-20T20:21:01.000Z,,4,,,,10927,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222028023,2022-12-20,2022-12-16,2022-12-20T19:43:14.000Z,,4,,,,9719,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222028021,2022-12-20,2022-12-16,2022-12-20T19:40:15.000Z,,4,,,,27196,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222028019,2022-12-20,2022-12-16,2022-12-20T19:36:43.000Z,,4,,,,27107,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222028017,2022-12-20,2022-12-16,2022-12-20T19:31:53.000Z,,4,,,,27950,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222026773,2022-12-02,2022-11-28,2022-12-02T16:27:43.000Z,,4,,,,6149,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222026769,2022-12-02,2022-11-30,2022-12-02T16:20:15.000Z,,4,,,,12793,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222026572,2022-11-30,2022-11-28,2022-11-30T17:47:30.000Z,,4,,,,29242,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222026568,2022-11-30,2022-11-28,2022-11-30T17:27:13.000Z,,4,,,,15265,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222026564,2022-11-30,2022-11-28,2022-11-30T17:18:01.000Z,,4,,,,5341,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222026562,2022-11-30,2022-11-28,2022-11-30T17:15:47.000Z,,4,,,,5587,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222026560,2022-11-30,2022-11-28,2022-11-30T17:12:30.000Z,,4,,,,5582,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222026558,2022-11-30,2022-11-22,2022-11-30T17:05:39.000Z,,4,,,,6356,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
000112760222026268,2022-11-22,2022-11-21,2022-11-22T17:03:28.000Z,,4,,,,4668,0,0,xslF345X03/form4.xml,PRIMARY DOCUMENT,True
