accessionNumber,Insider,Relation,Last Date,Transaction,Owner Type,Shares Traded,Price,Shares Held
000112760224022814,Moyo Dambisa F,Director,2024-08-21,Gift,Direct,510,0,14586
000112760224021898,Moyo Dambisa F,Director,2024-08-06,Gift,Direct,690,0,15096
000112760224017053,WARNER CYNTHIA J,Director,2024-05-29,Award/Acquisition (Non Open Market),Direct,1477,0,4422
000112760224017050,Umpleby III Donald J,Director,2024-05-29,Award/Acquisition (Non Open Market),Direct,1477,0,3059
000112760224017046,REED DEBRA L,Director,2024-05-29,Award/Acquisition (Non Open Market),Direct,1477,0,13210
000112760224017044,Moyo Dambisa F,Director,2024-05-29,Award/Acquisition (Non Open Market),Direct,1477,0,15731
000112760224017040,MOORMAN CHARLES W,Director,2024-05-29,Award/Acquisition (Non Open Market),Direct,1477,0,44652
000112760224017035,Huntsman Jon M Jr,Director,2024-05-29,Award/Acquisition (Non Open Market),Direct,1477,0,8791
000112760224017032,HEWSON MARILLYN A,Director,2024-05-29,Award/Acquisition (Non Open Market),Direct,1477,0,11275
000112760224017029,HERNANDEZ ENRIQUE JR,Director,2024-05-29,Award/Acquisition (Non Open Market),Direct,1477,0,29203
000112760224017026,GAST ALICE P,Director,2024-05-29,Award/Acquisition (Non Open Market),Direct,1477,0,26325
000112760224017022,Frank John,Director,2024-05-29,Award/Acquisition (Non Open Market),Direct,1477,0,15882
000112760224017019,Austin Wanda M,Director,2024-05-29,Award/Acquisition (Non Open Market),Direct,1477,0,3060
000112760224016738,WARNER CYNTHIA J,Director,2024-05-24,Discretionary Transaction,Direct,24,157.75,185
000112760224016736,MOORMAN CHARLES W,Director,2024-05-24,Discretionary Transaction,Direct,287,157.75,16872
000112760224016734,HEWSON MARILLYN A,Director,2024-05-24,Discretionary Transaction,Direct,247,157.75,3777
000112760224016403,GUSTAVSON JEFF B,Vice President,2024-05-21,Exercise or Conversion of Derivative Security,Direct,3750,0,0
000112760224015114,HERNANDEZ ENRIQUE JR,Director,2024-05-10,Sale,Indirect,2549,165.244,0
000112760224014330,HERNANDEZ ENRIQUE JR,Director,2024-05-02,Sale,Indirect,2549,161.00,7647
000112760224013563,Knowles Alana K,VP and Controller,2024-04-25,Exercise or Conversion of Derivative Security,Direct,2800,0,0
000112760224012509,Knowles Alana K,VP and Controller,2024-04-02,Exercise or Conversion of Derivative Security,Direct,2800,0,2800
000112760224008908,WARNER CYNTHIA J,Director,2024-03-04,Discretionary Transaction,Direct,26,148.88,159
000112760224008906,MOORMAN CHARLES W,Director,2024-03-04,Discretionary Transaction,Direct,304,148.88,16412
000112760224008904,HEWSON MARILLYN A,Director,2024-03-04,Discretionary Transaction,Direct,262,148.88,3495
000112760224004113,Knowles Alana K,VP and Controller,2024-02-06,Award/Acquisition (Non Open Market),Direct,10700,0,10700
000112760224004112,Wirth Michael K,Director,2024-02-06,Award/Acquisition (Non Open Market),Direct,115100,0,115100
000112760224004110,Pate R. Hewitt,VP and General Counsel,2024-02-06,Award/Acquisition (Non Open Market),Direct,28200,0,28200
000112760224004108,NELSON MARK A,Vice Chairman,2024-02-06,Award/Acquisition (Non Open Market),Direct,36800,0,36800
000112760224004106,MORRIS RHONDA J,Vice President,2024-02-06,Award/Acquisition (Non Open Market),Direct,15100,0,15100
000112760224004104,Krishnamurthy Balaji,Vice President,2024-02-06,Award/Acquisition (Non Open Market),Direct,8500,0,8500
000112760224004102,BONNER EIMEAR P,Vice President,2024-02-06,Award/Acquisition (Non Open Market),Direct,28200,0,28200
000112760224004099,HEARNE ANDREW NIGEL,Executive Vice President,2024-02-06,Award/Acquisition (Non Open Market),Direct,36800,0,36800
000112760224004097,GUSTAVSON JEFF B,Vice President,2024-02-06,Award/Acquisition (Non Open Market),Direct,10700,0,10700
000112760224003256,Knowles Alana K,VP and Controller,2024-01-31,Exercise or Conversion of Derivative Security,Direct,,,
000112760224003249,HEARNE ANDREW NIGEL,Executive Vice President,2024-01-31,Exercise or Conversion of Derivative Security,Direct,,,
000112760224003242,Wirth Michael K,Director,2024-01-31,Exercise or Conversion of Derivative Security,Direct,,,
000112760224003240,GUSTAVSON JEFF B,Vice President,2024-01-31,Exercise or Conversion of Derivative Security,Direct,,,
000112760224003237,Pate R. Hewitt,VP and General Counsel,2024-01-31,Exercise or Conversion of Derivative Security,Direct,,,
000112760224003233,NELSON MARK A,Vice Chairman,2024-01-31,Exercise or Conversion of Derivative Security,Direct,,,
000112760224003232,Breber Pierre R,VP & Chief Financial Officer,2024-01-31,Exercise or Conversion of Derivative Security,Direct,,,
000112760224003228,MORRIS RHONDA J,Vice President,2024-01-31,Exercise or Conversion of Derivative Security,Direct,,,
000112760224003223,BONNER EIMEAR P,Vice President,2024-01-31,Exercise or Conversion of Derivative Security,Direct,,,
000112760224003221,Krishnamurthy Balaji,Vice President,2024-01-31,Exercise or Conversion of Derivative Security,Direct,,,
000112760223030227,GUSTAVSON JEFF B,Vice President,2023-12-18,Exercise or Conversion of Derivative Security,Direct,85,0,2252
000112760223030225,MORRIS RHONDA J,Vice President,2023-12-18,Exercise or Conversion of Derivative Security,Indirect,34,0,3773
000112760223030223,Wirth Michael K,Director,2023-12-18,Exercise or Conversion of Derivative Security,Direct,1442,0,30955
000112760223030222,Pate R. Hewitt,VP and General Counsel,2023-12-18,Exercise or Conversion of Derivative Security,Direct,315,0,7904
000112760223030221,HEARNE ANDREW NIGEL,Executive Vice President,2023-12-18,Exercise or Conversion of Derivative Security,Direct,54,0,5453
000112760223030220,Knowles Alana K,VP and Controller,2023-12-18,Exercise or Conversion of Derivative Security,Direct,81,0,1745
000112760223030219,NELSON MARK A,Vice Chairman,2023-12-18,Exercise or Conversion of Derivative Security,Direct,366,0,7854
000112760223030218,Breber Pierre R,VP & Chief Financial Officer,2023-12-18,Exercise or Conversion of Derivative Security,Direct,366,0,7854
000112760223028428,WARNER CYNTHIA J,Director,2023-11-27,Discretionary Transaction,Direct,27,144.36,132
000112760223028426,MOORMAN CHARLES W,Director,2023-11-27,Discretionary Transaction,Direct,314,144.36,15944
000112760223028424,HEWSON MARILLYN A,Director,2023-11-27,Discretionary Transaction,Direct,270,144.36,3202
000112760223023361,WARNER CYNTHIA J,Director,2023-08-25,Discretionary Transaction,Direct,24,159.12,104
000112760223023352,MOORMAN CHARLES W,Director,2023-08-25,Discretionary Transaction,Direct,282,159.12,15490
000112760223023346,HEWSON MARILLYN A,Director,2023-08-25,Discretionary Transaction,Direct,242,159.12,2907
000112760223022549,Breber Pierre R,VP & Chief Financial Officer,2023-08-11,Exercise or Conversion of Derivative Security,Indirect,25000,0,11300
000112760223022141,GUSTAVSON JEFF B,Vice President,2023-08-03,Exercise or Conversion of Derivative Security,Direct,3750,0,3750
000112760223017565,WARNER CYNTHIA J,Director,2023-05-31,Award/Acquisition (Non Open Market),Direct,1534,0,2844
000112760223017560,Umpleby III Donald J,Director,2023-05-31,Award/Acquisition (Non Open Market),Direct,1534,0,2872
000112760223017555,REED DEBRA L,Director,2023-05-31,Award/Acquisition (Non Open Market),Direct,1534,0,11289
000112760223017551,Moyo Dambisa F,Director,2023-05-31,Award/Acquisition (Non Open Market),Direct,1534,0,14052
000112760223017548,MOORMAN CHARLES W,Director,2023-05-31,Award/Acquisition (Non Open Market),Direct,1534,0,41996
000112760223017546,Huntsman Jon M Jr,Director,2023-05-31,Award/Acquisition (Non Open Market),Direct,1534,0,7254
000112760223017543,HEWSON MARILLYN A,Director,2023-05-31,Award/Acquisition (Non Open Market),Direct,1534,0,9554
000112760223017541,HERNANDEZ ENRIQUE JR,Director,2023-05-31,Award/Acquisition (Non Open Market),Direct,1534,0,26657
000112760223017539,GAST ALICE P,Director,2023-05-31,Award/Acquisition (Non Open Market),Direct,1534,0,23892
000112760223017531,Frank John,Director,2023-05-31,Award/Acquisition (Non Open Market),Direct,1534,0,13857
000112760223017527,Austin Wanda M,Director,2023-05-31,Award/Acquisition (Non Open Market),Direct,1534,0,2893
000112760223017086,WARNER CYNTHIA J,Director,2023-05-26,Discretionary Transaction,Direct,24,154.08,79
000112760223017081,MOORMAN CHARLES W,Director,2023-05-26,Discretionary Transaction,Direct,285,154.08,15066
000112760223017078,HEWSON MARILLYN A,Director,2023-05-26,Discretionary Transaction,Direct,245,154.08,2641
000112760223008026,WARNER CYNTHIA J,Director,2023-02-27,Discretionary Transaction,Direct,23,162.82,54
000112760223008020,MOORMAN CHARLES W,Director,2023-02-27,Discretionary Transaction,Direct,270,162.82,14644
