accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,Form_4_Available
000095017024101168,2024-08-27,2024-08-25,2024-08-27T19:03:54.000Z,,4,,,,9586,0,0,xslF345X05/ownership.xml,4,False
000095017024099613,2024-08-21,2024-08-21,2024-08-21T18:51:41.000Z,,4,,,,8386,0,0,xslF345X05/ownership.xml,4,False
000095017024098822,2024-08-19,2024-08-16,2024-08-19T20:59:58.000Z,,4,,,,8906,0,0,xslF345X05/ownership.xml,4,False
000095017024098138,2024-08-16,2024-08-15,2024-08-16T17:09:34.000Z,,4,,,,10604,0,0,xslF345X05/ownership.xml,4,False
000095017024095703,2024-08-12,2024-08-12,2024-08-12T21:34:40.000Z,,4,,,,15087,0,0,xslF345X05/ownership.xml,4,False
000095017024094779,2024-08-09,2024-08-07,2024-08-09T16:18:35.000Z,,4,,,,8059,0,0,xslF345X05/ownership.xml,4,False
000095017024093141,2024-08-07,2024-08-07,2024-08-07T19:13:33.000Z,,4,,,,13008,0,0,xslF345X05/ownership.xml,4,False
000095017024090220,2024-08-02,2024-08-02,2024-08-02T20:02:45.000Z,,4,,,,7170,0,0,xslF345X05/ownership.xml,4,False
000095017024088112,2024-07-30,2023-07-27,2024-07-30T18:26:23.000Z,,4,,,,12715,0,0,xslF345X05/ownership.xml,4,False
000095017024087040,2024-07-26,2024-07-26,2024-07-26T19:18:22.000Z,,4,,,,9579,0,0,xslF345X05/ownership.xml,4,False
000095017024087025,2024-07-26,2024-07-26,2024-07-26T18:46:15.000Z,,4,,,,7275,0,0,xslF345X05/ownership.xml,4,False
000095017024084634,2024-07-18,2024-07-17,2024-07-18T17:05:23.000Z,,4,,,,9990,0,0,xslF345X05/ownership.xml,4,False
000095017024084027,2024-07-16,2024-07-12,2024-07-16T19:08:55.000Z,,4,,,,12622,0,0,xslF345X05/ownership.xml,4,False
000095017024081916,2024-07-05,2024-07-03,2024-07-05T18:44:50.000Z,,4,,,,8902,0,0,xslF345X05/ownership.xml,4,False
000095017024081914,2024-07-05,2024-07-03,2024-07-05T18:36:52.000Z,,4,,,,18169,0,0,xslF345X05/ownership.xml,4,False
