accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,Form_4_Available
000106299324015672,2024-08-26,2024-08-23,2024-08-26T18:01:30.000Z,,4,,,,7461,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324013850,2024-07-16,2024-07-15,2024-07-16T18:12:48.000Z,,4,,,,4393,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012674,2024-06-14,2024-06-13,2024-06-14T17:59:10.000Z,,4,,,,6279,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012673,2024-06-14,2024-06-13,2024-06-14T17:58:49.000Z,,4,,,,6222,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012672,2024-06-14,2024-06-13,2024-06-14T17:58:24.000Z,,4,,,,6405,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012671,2024-06-14,2024-06-13,2024-06-14T17:57:58.000Z,,4,,,,6238,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012670,2024-06-14,2024-06-13,2024-06-14T17:57:35.000Z,,4,,,,6285,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012669,2024-06-14,2024-06-13,2024-06-14T17:57:08.000Z,,4,,,,7093,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012668,2024-06-14,2024-06-13,2024-06-14T17:56:42.000Z,,4,,,,7296,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012667,2024-06-14,2024-06-13,2024-06-14T17:56:16.000Z,,4,,,,6399,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012243,2024-06-07,2024-06-07,2024-06-07T19:51:50.000Z,,4,,,,6013,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012242,2024-06-07,2024-06-07,2024-06-07T19:51:19.000Z,,4,,,,5182,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012241,2024-06-07,2024-06-07,2024-06-07T19:50:58.000Z,,4,,,,5175,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012240,2024-06-07,2024-06-07,2024-06-07T19:50:36.000Z,,4,,,,5960,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012239,2024-06-07,2024-06-07,2024-06-07T19:50:05.000Z,,4,,,,6141,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012238,2024-06-07,2024-06-07,2024-06-07T19:49:42.000Z,,4,,,,5974,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012237,2024-06-07,2024-06-07,2024-06-07T19:49:13.000Z,,4,,,,4440,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012236,2024-06-07,2024-06-07,2024-06-07T19:48:49.000Z,,4,,,,6022,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012235,2024-06-07,2024-06-07,2024-06-07T19:48:30.000Z,,4,,,,7015,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012234,2024-06-07,2024-06-07,2024-06-07T19:48:11.000Z,,4,,,,7033,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012233,2024-06-07,2024-06-07,2024-06-07T19:47:47.000Z,,4,,,,6134,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324012232,2024-06-07,2024-06-05,2024-06-07T19:47:23.000Z,,4,,,,10383,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324011886,2024-06-04,2024-05-31,2024-06-04T18:00:25.000Z,,4,,,,5903,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324011677,2024-06-03,2024-05-30,2024-06-03T18:05:40.000Z,,4,,,,5988,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324011676,2024-06-03,2024-05-30,2024-06-03T18:04:57.000Z,,4,,,,5763,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324011261,2024-05-24,2024-05-23,2024-05-24T18:00:53.000Z,,4,,,,4881,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324008453,2024-04-16,2024-04-15,2024-04-16T18:02:42.000Z,,4,,,,4392,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324006558,2024-03-15,2024-03-14,2024-03-15T18:14:39.000Z,,4,,,,6219,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324006557,2024-03-15,2024-03-14,2024-03-15T18:14:13.000Z,,4,,,,6404,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324006556,2024-03-15,2024-03-14,2024-03-15T18:13:49.000Z,,4,,,,6237,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324006555,2024-03-15,2024-03-14,2024-03-15T18:13:33.000Z,,4,,,,6284,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324006554,2024-03-15,2024-03-14,2024-03-15T18:13:14.000Z,,4,,,,7092,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324006553,2024-03-15,2024-03-14,2024-03-15T18:12:46.000Z,,4,,,,6397,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324006298,2024-03-12,2024-03-11,2024-03-12T18:16:21.000Z,,4,,,,4408,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324006297,2024-03-12,2024-03-11,2024-03-12T18:15:50.000Z,,4,,,,4881,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324005291,2024-03-04,2024-02-29,2024-03-04T18:16:30.000Z,,4,,,,5106,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324005290,2024-03-04,2024-02-29,2024-03-04T18:16:15.000Z,,4,,,,4397,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324005289,2024-03-04,2024-02-29,2024-03-04T18:15:52.000Z,,4,,,,4401,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324005288,2024-03-04,2024-02-29,2024-03-04T18:15:31.000Z,,4,,,,5896,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324005287,2024-03-04,2024-02-29,2024-03-04T18:15:27.000Z,,4,,,,4391,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324005286,2024-03-04,2024-02-29,2024-03-04T18:14:58.000Z,,4,,,,4382,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324005285,2024-03-04,2024-02-29,2024-03-04T18:13:48.000Z,,4,,,,4407,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324005284,2024-03-04,2024-02-29,2024-03-04T18:13:32.000Z,,4,,,,4389,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000095017024020392,2024-02-26,2024-02-22,2024-02-26T18:08:36.000Z,34,4,001-39652,24680916,,11387,0,0,xslF345X05/ownership.xml,4,False
000106299324002112,2024-02-06,2024-02-02,2024-02-06T18:14:02.000Z,,4,,,,14045,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324001775,2024-02-01,2024-01-31,2024-02-01T18:14:51.000Z,,4,,,,7014,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324001774,2024-02-01,2024-01-31,2024-02-01T18:14:17.000Z,,4,,,,5489,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324001773,2024-02-01,2024-01-31,2024-02-01T18:13:51.000Z,,4,,,,6131,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324001772,2024-02-01,2024-01-31,2024-02-01T18:13:24.000Z,,4,,,,5866,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324001771,2024-02-01,2024-01-31,2024-02-01T18:12:47.000Z,,4,,,,5181,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324001770,2024-02-01,2024-01-31,2024-02-01T18:12:03.000Z,,4,,,,5174,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324001769,2024-02-01,2024-01-31,2024-02-01T18:11:40.000Z,,4,,,,5957,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324001768,2024-02-01,2024-01-31,2024-02-01T18:11:14.000Z,,4,,,,6137,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324001767,2024-02-01,2024-01-31,2024-02-01T18:10:50.000Z,,4,,,,5973,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324001766,2024-02-01,2024-01-31,2024-02-01T18:10:24.000Z,,4,,,,4439,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324001765,2024-02-01,2024-01-31,2024-02-01T18:10:03.000Z,,4,,,,6018,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299324000918,2024-01-16,2024-01-16,2024-01-16T18:03:15.000Z,,4,,,,4392,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323023299,2023-12-29,2023-12-26,2023-12-29T19:32:45.000Z,,4,,,,4398,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323022684,2023-12-15,2023-12-15,2023-12-15T18:11:39.000Z,,4,,,,4314,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323022683,2023-12-15,2023-12-14,2023-12-15T18:11:02.000Z,,4,,,,8707,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323022682,2023-12-15,2023-12-14,2023-12-15T18:10:39.000Z,,4,,,,9365,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323022681,2023-12-15,2023-12-14,2023-12-15T18:08:05.000Z,,4,,,,6144,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323022680,2023-12-15,2023-12-14,2023-12-15T18:07:28.000Z,,4,,,,6326,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323022679,2023-12-15,2023-12-14,2023-12-15T18:07:00.000Z,,4,,,,6160,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323022678,2023-12-15,2023-12-14,2023-12-15T18:06:35.000Z,,4,,,,7014,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323022677,2023-12-15,2023-12-14,2023-12-15T18:06:15.000Z,,4,,,,6321,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323022364,2023-12-11,2023-12-08,2023-12-11T18:43:57.000Z,,4,,,,4330,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323022112,2023-12-07,2023-12-06,2023-12-07T18:14:06.000Z,,4,,,,5789,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323022111,2023-12-07,2023-12-06,2023-12-07T18:13:43.000Z,,4,,,,8441,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323022108,2023-12-07,2023-12-06,2023-12-07T18:12:16.000Z,,4,,,,8225,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323022106,2023-12-07,2023-12-06,2023-12-07T18:11:41.000Z,,4,,,,5103,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323022104,2023-12-07,2023-12-06,2023-12-07T18:10:33.000Z,,4,,,,5096,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
000106299323022102,2023-12-07,2023-12-06,2023-12-07T18:08:08.000Z,,4,,,,5885,0,0,xslF345X05/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES,True
