accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,Form_4_Available
000104581024000253,2024-08-12,2024-08-08,2024-08-12T17:06:03.000Z,,4,,,,31727,0,0,xslF345X05/wk-form4_1723496757.xml,FORM 4,False
000104581024000251,2024-08-08,2024-08-06,2024-08-08T17:02:45.000Z,,4,,,,42058,0,0,xslF345X05/wk-form4_1723150957.xml,FORM 4,False
000104581024000249,2024-08-06,2024-08-02,2024-08-06T16:20:51.000Z,,4,,,,45904,0,0,xslF345X05/wk-form4_1722975642.xml,FORM 4,False
000104581024000247,2024-08-02,2024-07-31,2024-08-02T16:45:57.000Z,,4,,,,50933,0,0,xslF345X05/wk-form4_1722631547.xml,FORM 4,False
000104581024000245,2024-07-31,2024-07-29,2024-07-31T16:33:34.000Z,,4,,,,37063,0,0,xslF345X05/wk-form4_1722458006.xml,FORM 4,False
000104581024000243,2024-07-29,2024-07-25,2024-07-29T18:08:25.000Z,,4,,,,36410,0,0,xslF345X05/wk-form4_1722290898.xml,FORM 4,False
000104581024000239,2024-07-25,2024-07-23,2024-07-25T17:09:10.000Z,,4,,,,26410,0,0,xslF345X05/wk-form4_1721941742.xml,FORM 4,False
000104581024000237,2024-07-23,2024-07-19,2024-07-23T16:54:36.000Z,,4,,,,28184,0,0,xslF345X05/wk-form4_1721768069.xml,FORM 4,False
000104581024000234,2024-07-19,2024-07-17,2024-07-19T16:33:06.000Z,,4,,,,30759,0,0,xslF345X05/wk-form4_1721421178.xml,FORM 4,False
000104581024000232,2024-07-18,2023-07-31,2024-07-18T17:20:02.000Z,34,4,001-42023,241125471,,7380,0,0,xslF345X05/wk-form4_1721337595.xml,FORM 4,False
000104581024000226,2024-07-17,2024-07-15,2024-07-17T16:59:50.000Z,,4,,,,27489,0,0,xslF345X05/wk-form4_1721249983.xml,FORM 4,False
000104581024000221,2024-07-15,2024-07-12,2024-07-15T16:59:37.000Z,,4,,,,6816,0,0,xslF345X05/wk-form4_1721077170.xml,FORM 4,False
000104581024000220,2024-07-15,2024-07-12,2024-07-15T16:59:10.000Z,,4,,,,15341,0,0,xslF345X05/wk-form4_1721077142.xml,FORM 4,False
000104581024000219,2024-07-15,2024-07-11,2024-07-15T16:58:41.000Z,,4,,,,34587,0,0,xslF345X05/wk-form4_1721077113.xml,FORM 4,False
000104581024000215,2024-07-11,2024-07-09,2024-07-11T16:28:35.000Z,,4,,,,26037,0,0,xslF345X05/wk-form4_1720729708.xml,FORM 4,False
000104581024000214,2024-07-11,2024-07-09,2024-07-11T16:27:26.000Z,,4,,,,10625,0,0,xslF345X05/wk-form4_1720729640.xml,FORM 4,False
000104581024000211,2024-07-09,2024-07-05,2024-07-09T16:24:15.000Z,,4,,,,22859,0,0,xslF345X05/wk-form4_1720556648.xml,FORM 4,False
000104581024000209,2024-07-05,2024-07-02,2024-07-05T16:20:09.000Z,,4,,,,28184,0,0,xslF345X05/wk-form4_1720210803.xml,FORM 4,False
000104581024000207,2024-07-02,2024-06-28,2024-07-02T18:08:48.000Z,,4,,,,31735,0,0,xslF345X05/wk-form4_1719958122.xml,FORM 4,False
000122520824007115,2024-07-01,2024-06-27,2024-07-01T17:30:40.000Z,,4,,,,6991,0,0,xslF345X05/doc4.xml,,False
000104581024000202,2024-07-01,2024-06-27,2024-07-01T16:50:09.000Z,,4,,,,6498,0,0,xslF345X05/wk-form4_1719867001.xml,FORM 4,False
000104581024000201,2024-07-01,2024-06-27,2024-07-01T16:50:01.000Z,,4,,,,6910,0,0,xslF345X05/wk-form4_1719866995.xml,FORM 4,False
000104581024000200,2024-07-01,2024-06-27,2024-07-01T16:49:38.000Z,,4,,,,5406,0,0,xslF345X05/wk-form4_1719866971.xml,FORM 4,False
000104581024000199,2024-07-01,2024-06-27,2024-07-01T16:49:14.000Z,,4,,,,6358,0,0,xslF345X05/wk-form4_1719866947.xml,FORM 4,False
000104581024000198,2024-07-01,2024-06-27,2024-07-01T16:49:08.000Z,,4,,,,7283,0,0,xslF345X05/wk-form4_1719866941.xml,FORM 4,False
000104581024000197,2024-07-01,2024-06-27,2024-07-01T16:48:42.000Z,,4,,,,5696,0,0,xslF345X05/wk-form4_1719866916.xml,FORM 4,False
000104581024000196,2024-07-01,2024-06-27,2024-07-01T16:48:29.000Z,,4,,,,5334,0,0,xslF345X05/wk-form4_1719866901.xml,FORM 4,False
000104581024000195,2024-07-01,2024-06-27,2024-07-01T16:48:10.000Z,,4,,,,6089,0,0,xslF345X05/wk-form4_1719866883.xml,FORM 4,False
000104581024000194,2024-07-01,2024-06-27,2024-07-01T16:47:46.000Z,,4,,,,5370,0,0,xslF345X05/wk-form4_1719866860.xml,FORM 4,False
000104581024000193,2024-07-01,2024-06-27,2024-07-01T16:46:41.000Z,,4,,,,5368,0,0,xslF345X05/wk-form4_1719866794.xml,FORM 4,False
000104581024000181,2024-06-28,2024-06-26,2024-06-28T16:20:45.000Z,,4,,,,29629,0,0,xslF345X05/wk-form4_1719606038.xml,FORM 4,False
000104581024000179,2024-06-26,2024-06-26,2024-06-26T16:14:02.000Z,,4,,,,3449,0,0,xslF345X05/wk-form4_1719432832.xml,FORM 4,False
000104581024000177,2024-06-26,2024-06-26,2024-06-26T16:13:02.000Z,,4,,,,3472,0,0,xslF345X05/wk-form4_1719432776.xml,FORM 4,False
000104581024000176,2024-06-26,2024-06-24,2024-06-26T16:09:15.000Z,,4,,,,32442,0,0,xslF345X05/wk-form4_1719432548.xml,FORM 4,False
000104581024000174,2024-06-26,2024-06-24,2024-06-26T16:08:01.000Z,,4,,,,34635,0,0,xslF345X05/wk-form4_1719432474.xml,FORM 4,False
000104581024000170,2024-06-21,2024-06-19,2024-06-21T20:12:50.000Z,,4,,,,45126,0,0,xslF345X05/wk-form4_1719015161.xml,FORM 4,False
000104581024000169,2024-06-21,2024-06-19,2024-06-21T20:05:10.000Z,,4,,,,18943,0,0,xslF345X05/wk-form4_1719014702.xml,FORM 4,False
000104581024000166,2024-06-21,2024-06-19,2024-06-21T17:00:16.000Z,,4,,,,8953,0,0,xslF345X05/wk-form4_1719003608.xml,FORM 4,False
000104581024000165,2024-06-21,2024-06-19,2024-06-21T16:50:27.000Z,,4,,,,6424,0,0,xslF345X05/wk-form4_1719003020.xml,FORM 4,False
000104581024000164,2024-06-21,2024-06-19,2024-06-21T16:35:53.000Z,,4,,,,7057,0,0,xslF345X05/wk-form4_1719002145.xml,FORM 4,False
000104581024000163,2024-06-21,2024-06-19,2024-06-21T16:24:25.000Z,,4,,,,9845,0,0,xslF345X05/wk-form4_1719001457.xml,FORM 4,False
000104581024000157,2024-06-20,2024-06-17,2024-06-20T16:25:31.000Z,,4,,,,8823,0,0,xslF345X05/wk-form4_1718915110.xml,FORM 4,False
000104581024000155,2024-06-20,2024-06-17,2024-06-20T16:23:06.000Z,,4,,,,29632,0,0,xslF345X05/wk-form4_1718914977.xml,FORM 4,False
000104581024000153,2024-06-17,2024-06-13,2024-06-17T17:00:47.000Z,,4,,,,23611,0,0,xslF345X05/wk-form4_1718658038.xml,FORM 4,False
000104581024000151,2024-06-13,2024-06-11,2024-06-13T17:52:15.000Z,,4,,,,9078,0,0,xslF345X05/wk-form4_1718315527.xml,FORM 4,False
000141588924016244,2024-06-10,2024-06-07,2024-06-10T16:55:57.000Z,,4,,,,15542,0,0,xslF345X05/form4-06102024_080653.xml,,False
000104581024000149,2024-06-07,2024-06-05,2024-06-07T17:15:17.000Z,,4,,,,9743,0,0,xslF345X05/wk-form4_1717794910.xml,FORM 4,False
000104581024000148,2024-06-07,2024-06-05,2024-06-07T17:14:22.000Z,,4,,,,57986,0,0,xslF345X05/wk-form4_1717794853.xml,FORM 4,False
000104581024000147,2024-06-07,2024-06-05,2024-06-07T17:12:44.000Z,,4,,,,9882,0,0,xslF345X05/wk-form4_1717794757.xml,FORM 4,False
000104581024000140,2024-06-05,2024-06-04,2024-06-05T17:02:53.000Z,,4,,,,46569,0,0,xslF345X05/wk-form4_1717621363.xml,FORM 4,False
000104581024000139,2024-06-05,2024-06-03,2024-06-05T17:02:25.000Z,,4,,,,50437,0,0,xslF345X05/wk-form4_1717621332.xml,FORM 4,False
000104581024000138,2024-06-05,2024-06-03,2024-06-05T17:01:29.000Z,,4,,,,8356,0,0,xslF345X05/wk-form4_1717621281.xml,FORM 4,False
000104581024000134,2024-05-31,2024-05-29,2024-05-31T16:05:07.000Z,,4,,,,10646,0,0,xslF345X05/wk-form4_1717185896.xml,FORM 4,False
000104581024000132,2024-05-31,2024-05-29,2024-05-31T16:03:46.000Z,,4,,,,5074,0,0,xslF345X05/wk-form4_1717185818.xml,FORM 4,False
000104581024000130,2024-05-30,2024-05-28,2024-05-30T16:29:43.000Z,,4,,,,5214,0,0,xslF345X05/wk-form4_1717100974.xml,FORM 4,False
000104581024000129,2024-05-30,2024-05-28,2024-05-30T16:29:02.000Z,,4,,,,53713,0,0,xslF345X05/wk-form4_1717100932.xml,FORM 4,False
000104581024000128,2024-05-30,2024-05-28,2024-05-30T16:27:19.000Z,,4,,,,5618,0,0,xslF345X05/wk-form4_1717100828.xml,FORM 4,False
000104581024000122,2024-05-29,2024-05-24,2024-05-29T16:13:12.000Z,,4,,,,10371,0,0,xslF345X05/wk-form4_1717013584.xml,FORM 4,False
000104581024000121,2024-05-29,2024-05-24,2024-05-29T16:12:25.000Z,,4,,,,4874,0,0,xslF345X05/wk-form4_1717013529.xml,FORM 4,False
000104581024000094,2024-04-10,2024-04-08,2024-04-10T17:09:27.000Z,,4,,,,6713,0,0,xslF345X05/wk-form4_1712783358.xml,FORM 4,False
000104581024000092,2024-04-09,2024-04-05,2024-04-09T16:30:49.000Z,,4,,,,9871,0,0,xslF345X05/wk-form4_1712694633.xml,FORM 4,False
