accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,Form_4_Available
000181887424000202,2024-08-26,2024-08-22,2024-08-26T18:23:55.000Z,,4,,,,5349,0,0,xslF345X05/wk-form4_1724711029.xml,FORM 4,False
000181887424000200,2024-08-16,2024-08-14,2024-08-16T20:13:15.000Z,,4,,,,8515,0,0,xslF345X05/wk-form4_1723853588.xml,FORM 4,False
000181887424000198,2024-08-14,2024-08-12,2024-08-14T19:57:12.000Z,,4,,,,4965,0,0,xslF345X05/wk-form4_1723679826.xml,FORM 4,False
000181887424000197,2024-08-14,2024-08-12,2024-08-14T19:56:51.000Z,,4,,,,4868,0,0,xslF345X05/wk-form4_1723679805.xml,FORM 4,False
000181887424000196,2024-08-14,2024-08-12,2024-08-14T19:56:29.000Z,,4,,,,6155,0,0,xslF345X05/wk-form4_1723679783.xml,FORM 4,False
000181887424000195,2024-08-14,2024-08-12,2024-08-14T19:55:57.000Z,,4,,,,5026,0,0,xslF345X05/wk-form4_1723679751.xml,FORM 4,False
000181887424000194,2024-08-14,2024-08-12,2024-08-14T19:55:36.000Z,,4,,,,4911,0,0,xslF345X05/wk-form4_1723679731.xml,FORM 4,False
000181887424000193,2024-08-14,2024-08-12,2024-08-14T19:55:17.000Z,,4,,,,4880,0,0,xslF345X05/wk-form4_1723679711.xml,FORM 4,False
000181887424000192,2024-08-14,2024-08-12,2024-08-14T19:54:55.000Z,,4,,,,4862,0,0,xslF345X05/wk-form4_1723679689.xml,FORM 4,False
000181887424000191,2024-08-14,2024-08-12,2024-08-14T19:54:26.000Z,,4,,,,4915,0,0,xslF345X05/wk-form4_1723679660.xml,FORM 4,False
000181887424000190,2024-08-14,2024-08-12,2024-08-14T19:54:00.000Z,,4,,,,4874,0,0,xslF345X05/wk-form4_1723679635.xml,FORM 4,False
000181887424000189,2024-08-14,2024-08-12,2024-08-14T19:53:15.000Z,,4,,,,4892,0,0,xslF345X05/wk-form4_1723679590.xml,FORM 4,False
000181887424000188,2024-08-14,2024-08-12,2024-08-14T19:52:52.000Z,,4,,,,4901,0,0,xslF345X05/wk-form4_1723679566.xml,FORM 4,False
000095017024097084,2024-08-14,2024-08-12,2024-08-14T16:30:02.000Z,,4,,,,17894,0,0,xslF345X05/ownership.xml,4,False
000181887424000166,2024-07-10,2024-07-08,2024-07-10T18:00:43.000Z,,4,,,,6098,0,0,xslF345X05/wk-form4_1720648836.xml,FORM 4,False
000181887424000153,2024-06-21,2024-06-20,2024-06-21T18:12:02.000Z,,4,,,,4775,0,0,xslF345X05/wk-form4_1719007916.xml,FORM 4,False
000181887424000151,2024-06-18,2024-06-14,2024-06-18T20:37:38.000Z,,4,,,,8607,0,0,xslF345X05/wk-form4_1718757451.xml,FORM 4,False
000181887424000149,2024-06-18,2024-06-14,2024-06-18T20:36:08.000Z,,4,,,,8513,0,0,xslF345X05/wk-form4_1718757362.xml,FORM 4,False
000181887424000147,2024-06-18,2024-06-14,2024-06-18T20:34:40.000Z,,4,,,,8636,0,0,xslF345X05/wk-form4_1718757274.xml,FORM 4,False
000181887424000145,2024-06-18,2024-06-14,2024-06-18T20:32:56.000Z,,4,,,,8477,0,0,xslF345X05/wk-form4_1718757170.xml,FORM 4,False
000181887424000143,2024-06-18,2024-06-14,2024-06-18T20:31:07.000Z,,4,,,,8557,0,0,xslF345X05/wk-form4_1718757060.xml,FORM 4,False
000181887424000141,2024-06-14,2024-06-14,2024-06-14T13:50:28.000Z,,4,,,,5224,0,0,xslF345X05/wk-form4_1718387420.xml,FORM 4,False
000095017024073334,2024-06-14,2024-06-13,2024-06-14T07:41:20.000Z,,4,,,,7901,0,0,xslF345X05/ownership.xml,4,False
000181887424000139,2024-06-13,2024-06-11,2024-06-13T21:06:01.000Z,,4,,,,6183,0,0,xslF345X05/wk-form4_1718327154.xml,FORM 4,False
000181887424000137,2024-05-28,2024-05-24,2024-05-28T06:12:54.000Z,,4,,,,5224,0,0,xslF345X05/wk-form4_1716891166.xml,FORM 4,False
000181887424000135,2024-05-23,2024-05-21,2024-05-23T18:11:11.000Z,,4,,,,7356,0,0,xslF345X05/wk-form4_1716502258.xml,FORM 4,False
000181887424000133,2024-05-23,2024-05-21,2024-05-23T18:09:33.000Z,,4,,,,6790,0,0,xslF345X05/wk-form4_1716502162.xml,FORM 4,False
000181887424000131,2024-05-23,2024-05-21,2024-05-23T18:07:46.000Z,,4,,,,6784,0,0,xslF345X05/wk-form4_1716502056.xml,FORM 4,False
000181887424000129,2024-05-23,2024-05-21,2024-05-23T18:06:15.000Z,,4,,,,6838,0,0,xslF345X05/wk-form4_1716501964.xml,FORM 4,False
000181887424000126,2024-05-23,2024-05-23,2024-05-23T14:08:31.000Z,,4,,,,5226,0,0,xslF345X05/wk-form4_1716487699.xml,FORM 4,False
000181887424000117,2024-05-06,2024-05-03,2024-05-06T06:02:04.000Z,,4,,,,4904,0,0,xslF345X05/wk-form4_1714989714.xml,FORM 4,False
000181887424000112,2024-04-24,2024-04-22,2024-04-24T19:49:17.000Z,,4,,,,5079,0,0,xslF345X05/wk-form4_1714002542.xml,FORM 4,False
000095017024047749,2024-04-24,2024-04-22,2024-04-24T17:37:04.000Z,,4,,,,17530,0,0,xslF345X05/ownership.xml,4,False
000181887424000074,2024-03-21,2024-03-19,2024-03-21T18:37:35.000Z,,4,,,,4787,0,0,xslF345X05/wk-form4_1711060644.xml,FORM 4,False
000181887424000072,2024-03-18,2024-03-14,2024-03-18T21:57:56.000Z,,4,,,,8544,0,0,xslF345X05/wk-form4_1710813465.xml,FORM 4,False
000181887424000070,2024-03-18,2024-03-14,2024-03-18T21:56:38.000Z,,4,,,,8589,0,0,xslF345X05/wk-form4_1710813389.xml,FORM 4,False
000181887424000068,2024-03-18,2024-03-14,2024-03-18T21:55:19.000Z,,4,,,,8491,0,0,xslF345X05/wk-form4_1710813310.xml,FORM 4,False
000181887424000066,2024-03-18,2024-03-14,2024-03-18T21:53:49.000Z,,4,,,,8619,0,0,xslF345X05/wk-form4_1710813216.xml,FORM 4,False
000181887424000064,2024-03-18,2024-03-14,2024-03-18T21:52:38.000Z,,4,,,,8477,0,0,xslF345X05/wk-form4_1710813142.xml,FORM 4,False
000181887424000062,2024-03-18,2024-03-14,2024-03-18T21:50:47.000Z,,4,,,,8538,0,0,xslF345X05/wk-form4_1710813033.xml,FORM 4,False
000181887424000060,2024-03-18,2024-03-14,2024-03-18T21:49:14.000Z,,4,,,,8539,0,0,xslF345X05/wk-form4_1710812944.xml,FORM 4,False
000181887424000058,2024-03-13,2024-03-11,2024-03-13T20:29:15.000Z,,4,,,,5837,0,0,xslF345X05/wk-form4_1710376145.xml,FORM 4,False
000181887424000057,2024-03-13,2024-03-11,2024-03-13T20:28:47.000Z,,4,,,,5772,0,0,xslF345X05/wk-form4_1710376116.xml,FORM 4,False
000181887424000056,2024-03-13,2024-03-11,2024-03-13T20:28:22.000Z,,4,,,,5901,0,0,xslF345X05/wk-form4_1710376092.xml,FORM 4,False
000181887424000055,2024-03-13,2024-03-11,2024-03-13T20:27:56.000Z,,4,,,,5848,0,0,xslF345X05/wk-form4_1710376064.xml,FORM 4,False
000181887424000054,2024-03-13,2024-03-11,2024-03-13T20:27:26.000Z,,4,,,,5769,0,0,xslF345X05/wk-form4_1710376037.xml,FORM 4,False
000181887424000053,2024-03-13,2024-03-11,2024-03-13T20:27:03.000Z,,4,,,,5799,0,0,xslF345X05/wk-form4_1710376011.xml,FORM 4,False
000181887424000028,2024-02-27,2024-02-23,2024-02-27T21:17:10.000Z,,4,,,,4914,0,0,xslF345X05/wk-form4_1709086612.xml,FORM 4,False
000181887424000022,2024-02-16,2024-02-14,2024-02-16T18:21:23.000Z,,4,,,,8520,0,0,xslF345X05/wk-form4_1708125654.xml,FORM 4,False
000181887424000013,2024-02-08,2024-02-06,2024-02-08T18:32:22.000Z,,4,,,,8357,0,0,xslF345X05/wk-form4_1707435132.xml,FORM 4,False
000181887424000002,2024-01-16,2024-01-09,2024-01-16T19:06:20.000Z,,4,,,,5731,0,0,xslF345X05/wk-form4_1705449969.xml,FORM 4,False
000181887423000206,2023-12-21,2023-12-19,2023-12-21T18:24:48.000Z,,4,,,,4788,0,0,xslF345X05/wk-form4_1703201080.xml,FORM 4,False
