accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,Form_4_Available
000095017024087441,2024-07-29,2024-07-25,2024-07-29T19:00:04.000Z,,4,,,,31410,0,0,xslF345X05/ownership.xml,4,False
000197292824000002,2024-06-07,2024-06-05,2024-06-07T18:46:36.000Z,,4,,,,8737,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT,False
000177134024000003,2024-06-05,2024-06-03,2024-06-05T19:16:39.000Z,,4,,,,7267,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT,False
000095017024054842,2024-05-07,2024-05-06,2024-05-07T18:12:12.000Z,,4,,,,21936,0,0,xslF345X05/ownership.xml,4,False
000179056524000003,2024-04-03,2024-04-01,2024-04-03T20:02:18.000Z,,4,,,,8684,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT,False
000177134024000002,2024-03-14,2024-03-12,2024-03-14T20:03:11.000Z,,4,,,,22314,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT,False
000197292824000001,2024-03-07,2024-03-05,2024-03-07T20:06:22.000Z,,4,,,,8963,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT,False
000179056524000002,2024-03-04,2024-02-29,2024-03-04T20:10:14.000Z,,4,,,,8685,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT,False
000177134024000001,2024-02-23,2024-02-21,2024-02-23T18:52:43.000Z,,4,,,,18848,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT,False
000179056524000001,2024-02-02,2024-01-31,2024-02-02T18:48:58.000Z,,4,,,,4616,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT,False
000177134023000012,2023-12-18,2023-12-14,2023-12-18T19:17:20.000Z,,4,,,,8860,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT,False
000197292823000009,2023-12-07,2023-12-05,2023-12-07T20:26:21.000Z,,4,,,,8660,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT,False
000179056523000014,2023-12-07,2023-12-05,2023-12-07T20:24:37.000Z,,4,,,,8676,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT,False
000177134023000011,2023-12-07,2023-12-05,2023-12-07T20:16:27.000Z,,4,,,,8663,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT,False
000177134023000010,2023-12-01,2023-11-29,2023-12-01T18:38:00.000Z,,4,,,,8776,0,0,xslF345X05/edgardoc.xml,PRIMARY DOCUMENT,False
